att;def;win
20,0;7,0;0,9928703688453135
20,0;8,0;0,9871494859143966
20,0;9,0;0,9775795546255035
20,0;10,0;0,965035103261955
20,0;11,0;0,9464672675242234
20,0;12,0;0,9245712871493623
20,0;13,0;0,8949568260752178
20,0;14,0;0,8627263853249062
20,0;15,0;0,8220757683678568
20,0;16,0;0,7805523819475513
20,0;17,0;0,7310337876679587
20,0;18,0;0,6829974124513066
20,0;19,0;0,6282915932753823
20,0;20,0;0,5774574026425449
20,0;21,0;0,5217615075039795
20,0;22,0;0,4718611541825628
20,0;23,0;0,41896225393652164
20,0;24,0;0,37303242400209513
20,0;25,0;0,3257107890560754
20,0;26,0;0,2857315185378907
20,0;27,0;0,24555385674450833
20,0;28,0;0,21241686526963366
20,0;29,0;0,17983888814069637
20,0;30,0;0,15353739770324873
21,0;1,0;0,9999999990805905
21,0;2,0;0,9999874968276372
21,0;3,0;0,9999236265988792
21,0;4,0;0,9996870404551069
21,0;5,0;0,999123357976778
21,0;6,0;0,9977909341840161
21,0;7,0;0,9954687476149938
21,0;8,0;0,9911172059168809
21,0;9,0;0,9848175198247164
21,0;10,0;0,9746527709451831
21,0;11,0;0,9616912565871956
21,0;12,0;0,9428956281496893
21,0;13,0;0,9210747435276394
21,0;14,0;0,8918946836253283
21,0;15,0;0,8603989124152259
21,0;16,0;0,8208936645714873
21,0;17,0;0,780680515700917
21,0;18,0;0,7328031004428045
21,0;19,0;0,686368652852078
21,0;20,0;0,6334322417124892
21,0;21,0;0,5841396166023471
21,0;22,0;0,5299739680738403
21,0;23,0;0,4812631384292665
21,0;24,0;0,42940265054659504
21,0;25,0;0,38415166228524583
21,0;26,0;0,3372818468462355
21,0;27,0;0,2974531358020482
21,0;28,0;0,2571848516497871
21,0;29,0;0,22375732279604937
21,0;30,0;0,19067737334338497
22,0;1,0;0,9999999996871454
22,0;2,0;0,9999937482743437
22,0;3,0;0,9999541231188347
22,0;4,0;0,9998243242189967
22,0;5,0;0,9994428757545613
22,0;6,0;0,9986553174308188
22,0;7,0;0,9969652943940632
22,0;8,0;0,9942191162362484
22,0;9,0;0,9893300170037087
22,0;10,0;0,9825240033572582
22,0;11,0;0,9718615184794495
22,0;12,0;0,9585738064450158
22,0;13,0;0,9396356806617243
22,0;14,0;0,9179407127817545
22,0;15,0;0,8892112280214751
22,0;16,0;0,8584242398644681
22,0;17,0;0,8199942996557127
22,0;18,0;0,7809956266756855
22,0;19,0;0,7346316610034294
22,0;20,0;0,6896735474152902
22,0;21,0;0,638372493953546
22,0;22,0;0,5905130165566161
22,0;23,0;0,5377826216399346
22,0;24,0;0,4902018308760548
22,0;25,0;0,43934595450349057
22,0;26,0;0,3947714102536364
22,0;27,0;0,3483780523050881
22,0;28,0;0,30874329754379803
22,0;29,0;0,26844851971957084
22,0;30,0;0,23479887853613066
23,0;1,0;0,9999999998935425
23,0;2,0;0,999996341880917
23,0;3,0;0,9999755564492154
23,0;4,0;0,9998916744514526
23,0;5,0;0,9996754511408439
23,0;6,0;0,9991263712742404
23,0;7,0;0,9981021718663861
23,0;8,0;0,9960575154457765
23,0;9,0;0,9929116829716989
23,0;10,0;0,9875362587365315
23,0;11,0;0,9802896791782254
23,0;12,0;0,9692126757380353
23,0;13,0;0,9556736655064799
23,0;14,0;0,9366607253521484
23,0;15,0;0,9151295807782314
23,0;16,0;0,8868586804953593
23,0;17,0;0,8567539032863685
23,0;18,0;0,8193356168389963
23,0;19,0;0,7814669556309538
23,0;20,0;0,7365048288889616
23,0;21,0;0,6929134210191769
23,0;22,0;0,6431301844868562
23,0;23,0;0,596607884889574
23,0;24,0;0,5452273261654306
23,0;25,0;0,49872155342684954
23,0;26,0;0,44883686489221886
23,0;27,0;0,4049330408340406
23,0;28,0;0,359034101287341
23,0;29,0;0,3196287483614
23,0;30,0;0,27936196785807815
24,0;1,0;0,9999999999637749
24,0;2,0;0,9999981709164315
24,0;3,0;0,9999853496195643
24,0;4,0;0,9999397157195995
24,0;5,0;0,9997951857940985
24,0;6,0;0,9994752094281762
24,0;7,0;0,9987426809527367
24,0;8,0;0,9974764165931106
24,0;9,0;0,9950872311555773
24,0;10,0;0,9915691044021293
24,0;11,0;0,9857567160675733
24,0;12,0;0,9781284045420411
24,0;13,0;0,9667081249090432
24,0;14,0;0,9529797005327173
24,0;15,0;0,9339458820255209
24,0;16,0;0,9126067149746888
24,0;17,0;0,8847966365154174
24,0;18,0;0,8553475949646018
24,0;19,0;0,8188830509103624
24,0;20,0;0,7820694561432491
24,0;21,0;0,7384109502449001
24,0;22,0;0,6960898640948254
24,0;23,0;0,6477206818587699
24,0;24,0;0,6024501105869017
24,0;25,0;0,5523422538175444
24,0;26,0;0,506860565061815
24,0;27,0;0,4579143822994293
24,0;28,0;0,414673123014206
24,0;29,0;0,36928124815697294
24,0;30,0;0,3301341867479897
25,0;1,0;0,9999999999876734
25,0;2,0;0,9999989297433773
25,0;3,0;0,9999922344584804
25,0;4,0;0,999962990508243
25,0;5,0;0,9998819195826006
25,0;6,0;0,9996618785141604
25,0;7,0;0,9992246605461307
25,0;8,0;0,9982987161153113
25,0;9,0;0,9967906727705176
25,0;10,0;0,9940716356412129
25,0;11,0;0,9902097474319983
25,0;12,0;0,9840067708281339
25,0;13,0;0,9760489999183366
25,0;14,0;0,9643464032930757
25,0;15,0;0,9504798616416401
25,0;16,0;0,9314682743843321
25,0;17,0;0,9103418290791847
25,0;18,0;0,88299072263647
25,0;19,0;0,8541715252767283
25,0;20,0;0,8186079372516387
25,0;21,0;0,7827825476926951
25,0;22,0;0,7403406763701477
25,0;23,0;0,6992046214129705
25,0;24,0;0,6521573330850475
25,0;25,0;0,6080620021440288
25,0;26,0;0,5591569167905341
25,0;27,0;0,5146521076993421
25,0;28,0;0,46661272146825544
25,0;29,0;0,4240241149644258
25,0;30,0;0,379147708443704
26,0;1,0;0,9999999999958056
26,0;2,0;0,9999994648666021
26,0;3,0;0,9999953544151678
26,0;4,0;0,9999795564426004
26,0;5,0;0,9999259246602921
26,0;6,0;0,9997992170265415
26,0;7,0;0,999491086192926
26,0;8,0;0,9989267198613656
26,0;9,0;0,9978022939497906
26,0;10,0;0,9960568903701148
26,0;11,0;0,993025488583826
26,0;12,0;0,9888482746974951
26,0;13,0;0,9822976240750501
26,0;14,0;0,97405661926112
26,0;15,0;0,9621239035729392
26,0;16,0;0,948161885928289
26,0;17,0;0,9292070593898997
26,0;18,0;0,9083084033697242
26,0;19,0;0,8814115379708987
26,0;20,0;0,8531971644755572
26,0;21,0;0,8184863143913419
26,0;22,0;0,7835891818641609
26,0;23,0;0,7422864590820647
26,0;24,0;0,7022595169343997
26,0;25,0;0,6564518120971116
26,0;26,0;0,6134629214318549
26,0;27,0;0,5656969735637781
26,0;28,0;0,5221252380399127
26,0;29,0;0,47496205104295874
26,0;30,0;0,43301494045256433
27,0;1,0;0,9999999999985727
27,0;2,0;0,9999996868769587
27,0;3,0;0,9999975483739219
27,0;4,0;0,999987495995199
27,0;5,0;0,9999576779478756
27,0;6,0;0,9998715568844988
27,0;7,0;0,9996900138462074
27,0;8,0;0,9992836425679352
27,0;9,0;0,9985854663228514
27,0;10,0;0,9972613795792176
27,0;11,0;0,9952859714296819
27,0;12,0;0,9919612064442275
27,0;13,0;0,9874962419600253
27,0;14,0;0,9806372235822429
27,0;15,0;0,9721537625244326
27,0;16,0;0,9600356754894523
27,0;17,0;0,9460137241524587
27,0;18,0;0,9271433421077051
27,0;19,0;0,9064831692391347
27,0;20,0;0,8800338016436167
27,0;21,0;0,8524002638307177
27,0;22,0;0,8184980057057526
27,0;23,0;0,7844751324630409
27,0;24,0;0,7442421700001773
27,0;25,0;0,7052564025735045
27,0;26,0;0,6606143953683816
27,0;27,0;0,618669783476338
27,0;28,0;0,5719848690753508
27,0;29,0;0,5293054954106093
27,0;30,0;0,482989097686517
28,0;1,0;0,9999999999995144
28,0;2,0;0,9999998434372163
28,0;3,0;0,9999985357161578
28,0;4,0;0,9999931375057588
28,0;5,0;0,9999735852450264
28,0;6,0;0,9999244963025885
28,0;7,0;0,9997981632552032
28,0;8,0;0,9995538462129032
28,0;9,0;0,9990414739310944
28,0;10,0;0,9982055933277092
28,0;11,0;0,9966836816191363
28,0;12,0;0,9944876107326106
28,0;13,0;0,9908891003955659
28,0;14,0;0,9861626403798763
28,0;15,0;0,9790310148591639
28,0;16,0;0,9703410230370363
28,0;17,0;0,9580759827363639
28,0;18,0;0,9440237921817421
28,0;19,0;0,9252600443975184
28,0;20,0;0,9048456614545406
28,0;21,0;0,8788356673920543
28,0;22,0;0,8517600873465268
28,0;23,0;0,8186259087027333
28,0;24,0;0,7854284496294008
28,0;25,0;0,746202810512126
28,0;26,0;0,7081971235604242
28,0;27,0;0,664654182554589
28,0;28,0;0,6236974547694375
28,0;29,0;0,5780403481045826
28,0;30,0;0,5362154426865174
29,0;1,0;0,9999999999998348
29,0;2,0;0,9999999083904081
